issue,record_type,record_id,venue_name,operator,what_the_pipeline_produced,source,snippet
"Article states Trinity replaced Aramark Correctional Services in September 2015. Aramark had held the contract since December 2013 when Michigan first privatized prison food. No candidate venue matches — statewide prison system, not a stadium/arena/convention center.",event,ev_eb1bea5b8402c598,Michigan prison food service,Aramark Correctional Services,lost on 2015-09-01 (confidence 0.8),"|Detroit Free Press; Detroit, Mich. | 2016-09-07","LANSING — A food service worker at Cotton Correctional Facility near Jackson was fired and turned over to the Michigan State Police on Thursday after a search as he reported to work that day turned up suspected drugs, a Corrections Department spokesman confirm…"
"Article states Trinity replaced Aramark as Michigan's prison food contractor in August 2015. No candidate venue matches; this is a statewide prison food service contract, not a stadium/arena/convention center. May be out of scope.",event,ev_22702e580d9e9660,Michigan prisons,Trinity Services Group,won on 2015-08-01 (confidence 0.85),"|Livingston County Daily Press & Argus; Howell, Mich. | 2016-09-09","LANSING -- A food worker has been fired and banned from state prison properties after she was caught making out with an inmate inside a kitchen cooler on Tuesday, a Corrections Department spokesman confirmed Thursday. After a corrections officer discovered the…"
"Article states staff were 'previously Aramark employees' who were given the option to work for Bon Appétit, indicating Aramark lost the food service contract to Bon Appétit. No specific date given. No candidate venue matched.",event,ev_ff26d56dfddeff9b,UChicago Dining,Aramark,lost on ? (confidence 0.75),|University Wire; Carlsbad | 2016-10-18,"…logical Sciences Learning Center and Stuart Cafés have closed after being reviewed by UChicago Dining. Both cafés required significant subsidies to operate, and were underutilized, each averaging 100 transaction a day in comparison to other cafés around campus…"
Article states the Aramark contract 'will expire in July 2018'. No candidate venue matched. Aramark has held the contract since 2003. The article describes an ongoing search/evaluation process for a successor but no award has been made.,event,ev_c31a24d22eb0cda2,FSU,Aramark Food Services,expired on 2018-07-01 (confidence 0.85),"|Tallahassee Democrat; Tallahassee, Fla. | 2016-12-12","Since 2003, Aramark Food Services has provided FSU with its dining service options. This includes the Suwannee Room and Fresh Food Company dining halls, along with other options like The Trading Post and food services in Oglesby Union. However, the contract Ar…"
"Barnard took store management in-house in May 2016. This is a college merchandise store, not a stadium/arena/convention center — likely out of scope. No venue_id match.",event,ev_9daa46dd3ed4d323,Barnard Store,Barnard,self_op on 2016-05-01 (confidence 0.75),|University Wire; Carlsbad | 2016-10-06,"Publication: The Columbia Spectator, Columbia University, New York NY. The Barnard Store has been operating without a manager this semester, which has hindered store operations and new employee training, according to current employees. The store has been in a …"
"Described as 'first quarter of full operations at Yosemite' and 'hit the ground running in Yosemite National Park', indicating a recently won contract. Approx $45M revenue recorded in the quarter. No venue_id match among candidates. This is a national park, not a stadium/arena/convention center - may be out of scope.",event,ev_63e00132b530584f,Yosemite National Park,Aramark,won on ? (confidence 0.75),|Fair Disclosure Wire; Linthicum | 2016-08-10,"… partnership that really enhances our product offerings. We hit the ground running in Yosemite National Park, provided food service to both the RNC and DNC conventions and also received more external recognition awards. Also in early August we acquired HPSI, a…"
"Eight consecutive failed health inspections from Sept 23, 2015 through July 7, 2016. Some occurred under Aramark (prior to May 2016 handover) and some under Chartwells. Earliest failure date used. No matching candidate venue.",event,ev_12b2a95adf4b2d1f,The Perch,Aramark,violation on 2015-09-23 (confidence 0.7),|University Wire; Carlsbad | 2016-10-06,"Publication: The Eagle, Florida Gulf Coast University, Fort Myers FL. Known as ""The Perch"" by the Florida Department of Health, some locations of the cafeteria in the FGCU Cohen Center failed a consecutive total of eight inspections from as early as Sept. 23, …"
"Eric Foss states 'we've recently signed two leading universities, Drexel University and Temple University'. No specific date given; described as recent. Likely an education/dining contract. Date needs review.",event,ev_4605d693ee6f70b1,Drexel University,Aramark,won on ? (confidence 0.82),|Fair Disclosure Wire; Linthicum | 2016-11-15,"…ur own backyard here in Philadelphia, we've recently signed two leading universities, Drexel University and Temple University, as well as the Pennsylvania Department of Corrections. In our uniform business we added Publix, the largest employee-owned grocery re…"
"Federal contract for 'full food services' at USCG Academy in New London, CT. No candidate venue matches this location. The article describes a federal government contract award, not a typical stadium/arena concessions contract. Place of performance is the U.S. Coast Guard Academy.",event,ev_297eec1ddc041a95,USCG Academy,Aramark,won on 2016-09-15 (confidence 0.85),"|Targeted News Service; Washington, D.C. | 2016-09-15","… the U.S. Coast Guard for full food services. The place of performance will be at the USCG Academy, New London, Connecticut. Agency contact: Erin Bass, 757/628-4117, erin.k.bass@uscg.mil. CIV5FCA5. CLASSR; NAICS722310. *** $582,395 Federal Contract Awarded to …"
Launch Test Kitchen pop-up concept at Nissan Stadium featuring local chef Andrew Little of Josephine. This is a program/menu initiative by Aramark. Date is approximate - inferred from article publication date as the pop-up had already occurred. Borderline between initiative and a one-off event; flagged for review.,event,ev_824bd8c89d30a04b,Nissan Stadium,Aramark,initiative on 2016-10-02 (confidence 0.65),"|The Tennessean; Nashville, Tenn. | 2016-10-02","After another disheartening loss last week, the only comfort Titans fans may find at Nissan Stadium this year might be in the food. With nary a whisper, Josephine chef Andrew Little quietly launched a pop-up concept in partnership with stadium concessions comp…"
"Mentioned as a 'new business win' in Q3 2016 earnings call. No venue_id match found among candidates. No specific date given. The Rock and Roll Hall of Fame is in Cleveland, OH.",event,ev_63e00132b530584f,Rock and Roll Hall of Fame,Aramark,won on ? (confidence 0.7),|Fair Disclosure Wire; Linthicum | 2016-08-10,"…% organic sales growth in the quarter. New business wins remain strong, including the Rock and Roll Hall of Fame, the University of Pennsylvania and the Tennessee Department of Corrections. Notable performances were turned in by our education as well as our sp…"
"No candidate venue for Temple University. 15-year contract with Aramark to go into effect July 1, 2017, replacing SodexoMagic.",event,ev_63eb07056ee90224,Temple University,Aramark,won on 2017-07-01 (confidence 0.92),|University Wire; Carlsbad | 2016-10-21,"…o conclude a 21-year partnership this December. Exactly three weeks later on Oct. 11, Temple University announced that they would not be renewing their contract with SodexoMagic, who they had partnered with for 28 years. Temple's new 15-year contract with Aram…"
"No candidate venue for Temple University. Article states contract signed, effective July 1, 2017. Temple is distinct from Drexel.",event,ev_ca3c544be6203886,Temple,Aramark,won on 2017-07-01 (confidence 0.92),|University Wire; Carlsbad | 2016-10-25,"Publication: Temple News, Temple University, Philadelphia PA. Temple recently signed a 15-year contract with Aramark effective July 1, 2017, ending Sodexo's 28 years as Temple's food service provider. The new provider means food retailers franchised with Sodex…"
"No candidate venue for Temple University. Sodexo's contract ends June 30, 2017 after 28 years of service.",event,ev_aeaae025458e9c71,Temple,Sodexo,lost on 2017-06-30 (confidence 0.92),|University Wire; Carlsbad | 2016-10-25,"Publication: Temple News, Temple University, Philadelphia PA. Temple recently signed a 15-year contract with Aramark effective July 1, 2017, ending Sodexo's 28 years as Temple's food service provider. The new provider means food retailers franchised with Sodex…"
"No candidate venue for Temple University. SodexoMagic's contract not renewed; Aramark takes over July 1, 2017. 28-year partnership implies SodexoMagic contract began circa 1989.",event,ev_cec500d8fc1a792d,Temple University,Sodexo,lost on 2017-07-01 (confidence 0.9),|University Wire; Carlsbad | 2016-10-21,"…o conclude a 21-year partnership this December. Exactly three weeks later on Oct. 11, Temple University announced that they would not be renewing their contract with SodexoMagic, who they had partnered with for 28 years. Temple's new 15-year contract with Aram…"
"No candidate venue matched University of Louisville campus dining. Article describes Aramark's first two weeks as U of L's dining partner as of early September 2016, so contract start is approximately August 2016. 15-year contract includes $33 million in renovations. Article mentions Sodexo as the predecessor operator at the Ville Grill.",event,ev_ee0b16f565ec83f6,U of L,Aramark,won on 2016-08-01 (confidence 0.85),|University Wire; Carlsbad | 2016-09-03,"…f Louisville , Louisville, KY By Olivia Krauth- In Aramark‘s first two weeks of being U of L‘s dining partner, U of L Associate Vice President for Business Affairs Mark Watkins estimates they‘ve seen two to three million transactions and received positive stud…"
"No candidate venue matched University of Louisville campus dining. Article describes Aramark's first two weeks as dining partner, with a 15-year contract including $33M in renovations. Event date approximated from fall semester 2016 start (Aug 21 mentioned). The $33M is described as renovation investment, not necessarily total contract value, so left null.",event,ev_f57b4ea2d4198326,U of L,Aramark,won on 2016-08-01 (confidence 0.88),|University Wire; Carlsbad | 2016-09-03,"…f Louisville , Louisville, KY By Olivia Krauth- In Aramark‘s first two weeks of being U of L‘s dining partner, U of L Associate Vice President for Business Affairs Mark Watkins estimates they‘ve seen two to three million transactions and received positive stud…"
"No candidate venue matched University of Louisville. Article says 'Sodexo-ran Ville Grill' in past tense, implying Sodexo was the predecessor operator. Ville Grill is part of U of L campus dining. Sodexo is identified only as running the Ville Grill, but the context implies they were the overall campus dining operator replaced by Aramark.",event,ev_19612d8dd1f9846d,Ville Grill,Sodexo,lost on 2016-08-01 (confidence 0.7),|University Wire; Carlsbad | 2016-09-03,"…ear, students with meal swipes can use them at nearly every campus restaurant and The Ville Grill to purchase value meals. The value meals offered at each eatery are displayed by the cash register. At The Ville Grill, students have six guest meals per semester…"
"No candidate venue matched. Article refers to 'Sodexo-ran Ville Grill' in past tense, implying Sodexo was the previous dining operator at U of L, now replaced by Aramark. The Ville Grill is part of U of L campus dining. Venue name as written uses the specific dining hall name mentioned in context of Sodexo's operation.",event,ev_cc41f3a8a5c4d46c,Ville Grill,Sodexo,lost on 2016-08-01 (confidence 0.75),|University Wire; Carlsbad | 2016-09-03,"…ear, students with meal swipes can use them at nearly every campus restaurant and The Ville Grill to purchase value meals. The value meals offered at each eatery are displayed by the cash register. At The Ville Grill, students have six guest meals per semester…"
"No candidate venue matched. Article says Mayo 'plans to transition its food service to Morrison Healthcare during the next 12 to 18 months' as part of a 10-year contract across 20 facilities. The transition is described as a decided plan (Mayo rejected union compromise and confirmed the plan), but the exact start date is unclear — 12-18 months from Aug 2016. This is a multi-facility contract (20 sites including Rochester, Austin, Albert Lea, Owatonna, Mankato, Fairmont). Confidence reduced because transition is still in progress/upcoming, though it appears to be a decided contract, not a mere proposal.",event,ev_794d41d516f56041,Mayo Clinic,Compass,won on ? (confidence 0.72),"|Post - Bulletin; Rochester, Minn. | 2016-08-31",Aug. 31--Mayo Clinic officially declined SEIU Healthcare Minnesota's proposal Tuesday during the second bargaining session between the health care giant and about 700 unionized food service workers. The rejection prompted the union to again call on Mayo to pub…
"No candidate venue matched. Board of trustees approved a letter of intent on Sept. 12 to finalize the deal, adding 6 years to 4 years remaining on existing contract (total ~10 years). The $23 million figure is described as expected revenue over the next decade. Aramark guaranteed minimum $12.1 million over the life of the contract plus $5M+ in dining site investment and $4.2M in equipment. Article says 'letter of intent to finalize the new deal' was approved — this is board approval but technically still a letter of intent, not yet finalized. Confidence slightly reduced accordingly.",event,ev_398b7470a11e4d88,University of Toledo,Aramark,renewed on 2016-09-12 (confidence 0.82),"|The Blade; Toledo, Ohio | 2016-09-17","A contract extension between the University of Toledo and its dining services provider will mean more milkshakes and moola for the university. | The new agreement with Aramark will bring additional dining options and national chains, starting with Steak 'n Sha…"
No candidate venue matched. Sodexo is named as the incumbent whose workers are being transitioned to Morrison Healthcare. The transition is planned over 12-18 months from Aug 2016. Multi-facility contract across 20 sites. Sodexo not explicitly named as losing the contract but the article clearly states workers will 'move from Sodexo to Morrison Healthcare.',event,ev_338471573249b08c,Mayo Clinic,Sodexo,lost on ? (confidence 0.72),"|Post - Bulletin; Rochester, Minn. | 2016-08-31",Aug. 31--Mayo Clinic officially declined SEIU Healthcare Minnesota's proposal Tuesday during the second bargaining session between the health care giant and about 700 unionized food service workers. The rejection prompted the union to again call on Mayo to pub…
"No candidate venue matched. Temple University dining services contract approved by Board of Trustees on Oct 11, 2016, effective July 1, 2017. Article implies current food-service employees are not Aramark, suggesting a switch from another operator, but the incumbent is not named so no 'lost' event emitted.",event,ev_e50cf904efe27803,Temple University,Aramark,won on 2017-07-01 (confidence 0.95),"|US Fed News Service, Including US State News; Washington, D.C. | 2016-10-12","PHILADELPHIA, Pa., Oct. 11 -- Temple University issued the following news release: After an extensive review process, Temple University today announced a 15-year agreement with Aramark as the university's new dining-services partner. The agreement, effective J…"
"No candidate venue matched. This is a hospital (Lafayette General Medical Center), not a stadium/arena/convention center. The contract is for environmental/custodial services, not food service. The article states the contract ends Dec. 12, 2016, and Lafayette General is bringing those services back in-house.",event,ev_972e3d50f5b5c142,Lafayette General Medical Center,Aramark Healthcare Services,lost on 2016-12-12 (confidence 0.9),"|The Daily Advertiser; Lafayette, La. | 2016-10-15","Aramark Healthcare Services will lay off 243 employees assigned to Lafayette General Medical Center on Dec. 12, the company revealed in a notification to Louisiana Workforce Commission on Friday. But Lafayette General says it may rehire as many in what it hope…"
"No candidate venue matched. This is a hospital returning environmental/custodial services in-house, not a food-service contract at a stadium/arena/convention center. The hospital says it hopes for a 'seamless transition' to returning these jobs in-house. Reviewer should determine if this is in scope.",event,ev_359cdd6828afe3ce,Lafayette General Medical Center,Lafayette General Medical Center,self_op on 2016-12-12 (confidence 0.85),"|The Daily Advertiser; Lafayette, La. | 2016-10-15","Aramark Healthcare Services will lay off 243 employees assigned to Lafayette General Medical Center on Dec. 12, the company revealed in a notification to Louisiana Workforce Commission on Friday. But Lafayette General says it may rehire as many in what it hope…"
No candidate venue matches Florida Gulf Coast University (FGCU). Article says FGCU 'cutting ties' with Aramark as its former food service management company. Exact date of contract end not stated; happened before 2016-17 school year.,event,ev_1ce7bd4d51695bb7,FGCU,Aramark,lost on ? (confidence 0.9),"|The News Press; Fort Myers, Fla. | 2016-08-17","…ges to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor.…"
No candidate venue matches Florida Gulf Coast University (FGCU). Article states 'The university decided to contract with Chartwells after doing a two-year review of its dining and catering needs.' Exact date not stated; in effect by start of 2016-17 school year.,event,ev_ba3582e42d4248f2,FGCU,Compass,won on ? (confidence 0.9),"|The News Press; Fort Myers, Fla. | 2016-08-17","…ges to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor.…"
"No candidate venue matches Georgetown University dining facilities (Leo's, Hoya Court, O'Donovan Hall). These are university dining locations, not stadiums/arenas. Article says Aramark renewed as dining contractor for 10 years after a yearlong bid process where Sodexo was the other finalist. Exact announcement date appears to be early November 2016 (campuswide email Tuesday before the Nov 4 article).",event,ev_716d2f043253c1d4,Georgetown,Aramark,renewed on 2016-11-01 (confidence 0.92),|University Wire; Carlsbad | 2016-11-04,"Publication: The Hoya, Georgetown University, Washington DC. TARA SUBRAMANIAM/THE HOYA As part of Aramark’s plan, the first floor of Leo’s will be renovated to include a food court with new options. Aramark will remain the university’s dining contractor for th…"
"No candidate venue matches NCH Healthcare System (two hospitals with 716 combined beds in Collier County, FL). The article states the 2012 outsourcing of food service and housekeeping (224 employees) to Sodexo was the hospital system's 'last significant round of job cuts and outsourcing', implying food service was previously in-house. Year is approximate — article says '2012' without a specific month. first_outsourcing set to true because the article describes this as the first outsourcing of food service.",event,ev_9bca26df1c10411c,NCH Healthcare System,Sodexo,won on 2012-01-01 (confidence 0.8),"|The News Press; Fort Myers, Fla. | 2016-08-27","The NCH Healthcare System is outsourcing 45 employees in three departments to a performance improvement firm to enhance patients' and physicians' satisfaction, according to hospital officials. NCH signed a contract with nThrive, an Atlanta-area firm, to create…"
No candidate venue matches St. Cloud State University / Garvey Commons. Article states 'the St. Cloud State vendor contract with Sodexo...was not renewed effective July 1.' Sodexo lost the contract to Chartwells.,event,ev_17f190dcdbc956e6,St. Cloud State University's Garvey Commons,Sodexo,lost on 2016-07-01 (confidence 0.85),"|St. Cloud Times; St. Cloud, Minn. | 2016-07-31","…ram. Sparby said the Yes Network had recently transitioned back to preparing meals at St. Cloud State University's Garvey Commons after spending the first month prepping meals at Apollo High School. ""We are right on track to serve another 70,000 meals this sum…"
No candidate venue matches St. Cloud State University / Garvey Commons. Article states Chartwells is the 'new St. Cloud State vendor' replacing Sodexo effective July 1.,event,ev_4c95d6079be2a7e1,St. Cloud State University's Garvey Commons,Compass,won on 2016-07-01 (confidence 0.85),"|St. Cloud Times; St. Cloud, Minn. | 2016-07-31","…ram. Sparby said the Yes Network had recently transitioned back to preparing meals at St. Cloud State University's Garvey Commons after spending the first month prepping meals at Apollo High School. ""We are right on track to serve another 70,000 meals this sum…"
"No candidate venue matches Temple University dining services. Sodexo held the contract for 28 years (~1989-2017). Replaced by Aramark effective July 1, 2017.",event,ev_03a0d8daf6924d03,Temple,Sodexo,lost on 2017-07-01 (confidence 0.9),|University Wire; Carlsbad | 2016-10-18,"Publication: Temple News, Temple University, Philadelphia PA. Joyce Badolato, a Sodexo worker of 12 years, prepares a bowl of vegetables at Wok Star in the Morgan Hall Food Court on Oct. 14. JAMIE COTTRELL FOR THE TEMPLE NEWS Temple announced last week that af…"
"No candidate venue matches Temple University dining services. The article mentions 'Diamond Dollars' (a campus currency) not a venue called 'The Diamond'. Contract announced as decided, starting July 1, 2017. Sodexo held the contract for 28 years prior.",event,ev_460833386e6ebe56,Temple,Aramark,won on 2017-07-01 (confidence 0.9),|University Wire; Carlsbad | 2016-10-18,"Publication: Temple News, Temple University, Philadelphia PA. Joyce Badolato, a Sodexo worker of 12 years, prepares a bowl of vegetables at Wok Star in the Morgan Hall Food Court on Oct. 14. JAMIE COTTRELL FOR THE TEMPLE NEWS Temple announced last week that af…"
"No candidate venue matches Temple University; venue_id set to null. Article says contract begins 1st July (2016 implied). Board of trustees approved selection. Four unnamed rivals plus Sodexo. Details of proposal not yet finalized at time of article but board approval is reported as decided. Article says 'after a final deal is reached' suggesting terms not fully finalized, but board selection is reported as fact.",event,ev_b820fc3a668226b8,Temple University,Aramark,won on 2016-07-01 (confidence 0.88),|MENA Report; Camden | 2016-10-14,"Temple University has offered Aramark a 15-year dining services deal. Aramark secured the deal over four rivals, including Sodexo Inc., which wason the North Philadelphia campus for 28 years. Details of Aramark's proposal will be announced after a final deal i…"
No candidate venue matches Temple University; venue_id set to null. Sodexo Inc. was incumbent on campus for 28 years. Lost contract to Aramark effective 1st July 2016.,event,ev_476d0140c9de2f23,Temple University,Sodexo,lost on 2016-07-01 (confidence 0.85),|MENA Report; Camden | 2016-10-14,"Temple University has offered Aramark a 15-year dining services deal. Aramark secured the deal over four rivals, including Sodexo Inc., which wason the North Philadelphia campus for 28 years. Details of Aramark's proposal will be announced after a final deal i…"
"No candidate venue matches Tom Green County Jail. Article says Aramark's contract 'automatically renewed at the end of August for another year' and 'is set to expire again in 2017.' This is a correctional facility food service contract, not a stadium/arena. Venue unmatched.",event,ev_9894fba1b01080df,Tom Green County Jail,Aramark Correctional Services,renewed on 2016-08-01 (confidence 0.82),|Standard Times; San Angelo | 2016-09-12,"…or See Updates, 5A allegedly having improper sexual relationships with inmates at the Tom Green County Jail and have since been released on bail. Both were employed by Aramark Correctional Services, which is contracted to provide food services to the jail. Ara…"
"No candidate venue matches University of Maine at Farmington. Article says Sodexo America 'has taken over' food service, implying recent switch. No specific date given.",event,ev_10286f439ee953e2,University of Maine at Farmington,Sodexo,won on ? (confidence 0.85),|TCA Regional News; Chicago | 2016-08-26,"…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
"No candidate venue matches University of Maine at Farmington. Article states Sodexo America took over from Aramark, so Aramark lost the contract. No specific date given.",event,ev_d03915d04fee81c9,University of Maine at Farmington,Aramark,lost on ? (confidence 0.85),|TCA Regional News; Chicago | 2016-08-26,"…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
"No candidate venue matches the campus dining facilities at Rutgers-Newark. The article mentions '1 Washington Park' as a bistro location but this is a campus building, not a stadium/arena. Contract is 3 years with option for five 1-year extensions. Operator not on known crosswalk list.",event,ev_daf4cae66c260d20,Rutgers University – Newark,Gourmet Dining Services,won on 2016-07-29 (confidence 0.9),|University Wire; Carlsbad | 2016-09-27,"…arent deliberative process that we conducted in selecting a food service provider for Rutgers University – Newark has yielded an excellent result. Effective today, our new provider is Gourmet Dining Services, a premier food service company that is New Jersey’s…"
"No matching venue in candidate list. Article says Sodexo America 'has taken over' food service at UMaine Farmington, replacing Aramark. Date not stated; article published 2016-08-25, event likely shortly before.",event,ev_53f3724bb634c03f,University of Maine at Farmington,Sodexo,won on ? (confidence 0.85),"|Sun Journal; Lewiston, Me. | 2016-08-25","…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
"No matching venue in candidate list. Article says UT extends its contract with Aramark for six years, with four years remaining on the existing contract. The venue is campus dining at the University of Toledo, not the Credit Union of Texas Event Center. The 'credit union' text match in candidates refers to a credit union mentioned in passing (UT Federal Credit Union) and is not the venue.",event,ev_93466f08afeb4b74,University of Toledo,Aramark,renewed on 2016-09-23 (confidence 0.9),"|US Fed News Service, Including US State News; Washington, D.C. | 2016-09-25","TOLEDO, Ohio, Sept. 23 -- University of Toledo issued the following news release: The University of Toledo is expanding dining options for students on campus as it extends its contract with Aramark for six years. Steak 'n Shake is scheduled to open in January …"
No matching venue in candidate list. Article states Aramark was the former food service provider replaced by Sodexo America. Date not stated.,event,ev_6ecda175813bf0b8,University of Maine at Farmington,Aramark,lost on ? (confidence 0.85),"|Sun Journal; Lewiston, Me. | 2016-08-25","…n other business, the board approved a liquor license for the new food service at the University of Maine at Farmington. Sodexo America has taken over the service formerly provided by Aramark. The board will meet at 6:30 p.m. Monday, Aug. 29, at the Town Offic…"
"No matching venue_id - statewide prison food contract, not a stadium/arena/convention center. Trinity Services Group is not on the known operator list. Article says Trinity replaced Aramark in August 2015. Contract value is estimated at $158.8M over 3 years.",event,ev_ca0859e280559ae9,state prison properties,Trinity Services Group,won on 2015-08-01 (confidence 0.85),"|Lansing State Journal; Lansing, Mich. | 2016-09-09","LANSING - A food worker has been fired and banned from state prison properties after she was caught making out with an inmate inside a kitchen cooler on Tuesday, a Corrections Department spokesman confirmed Thursday. After a corrections officer discovered the …"
No matching venue_id - statewide prison food contract. Article says Trinity replaced Aramark in August 2015.,event,ev_1fc8805b011c2e80,state prison properties,Aramark Correctional Services,lost on 2015-08-01 (confidence 0.85),"|Lansing State Journal; Lansing, Mich. | 2016-09-09","LANSING - A food worker has been fired and banned from state prison properties after she was caught making out with an inmate inside a kitchen cooler on Tuesday, a Corrections Department spokesman confirmed Thursday. After a corrections officer discovered the …"
"No matching venue_id - this is a statewide prison food service contract covering 33 facilities, not a single stadium/arena venue. Article states Aramark began in December 2013, replacing ~370 unionized state employees. First outsourcing from state employees may be true but article doesn't explicitly say it was the first-ever outsourcing.",event,ev_0100a2ac6b81113d,state prison properties,Aramark Correctional Services,won on 2013-12-01 (confidence 0.85),"|Lansing State Journal; Lansing, Mich. | 2016-09-09","LANSING - A food worker has been fired and banned from state prison properties after she was caught making out with an inmate inside a kitchen cooler on Tuesday, a Corrections Department spokesman confirmed Thursday. After a corrections officer discovered the …"
No matching venue_id for University of Chicago dining. Article says UChicago 'made the same switch from Aramark to Bon Appétit starting this school year' (2016-17). Date inferred as Fall 2016.,event,ev_002f8e6005d37fe7,University of Chicago,Compass,won on 2016-09-01 (confidence 0.7),|University Wire; Carlsbad | 2016-10-26,"… mounting costs of the ongoing ACDC reno­vation, is a cause for concern. In fact, the University of Chicago made the same switch from Aramark to Bon Ap­pétit starting this school year, and so far the quality of food has not suffered and all UChicago dining wor…"
No matching venue_id for University of Chicago dining. Article says UChicago 'made the same switch from Aramark to Bon Appétit starting this school year' (2016-17). Date inferred as Fall 2016.,event,ev_09c088f6f5d38aaf,University of Chicago,Aramark,lost on 2016-09-01 (confidence 0.7),|University Wire; Carlsbad | 2016-10-26,"… mounting costs of the ongoing ACDC reno­vation, is a cause for concern. In fact, the University of Chicago made the same switch from Aramark to Bon Ap­pétit starting this school year, and so far the quality of food has not suffered and all UChicago dining wor…"
"No matching venue_id for Vassar College dining services. Article states Vassar 'will be switching its food service provider starting in Fall 2017 from Aramark to Bon Appétit.' Reported as decided. Article also mentions Bon Appétit's management starting with end date of union contract June 30, 2018 referenced as 'the end of the first year of Bon Appétit's management here.'",event,ev_01152f2742c53669,Vassar,Compass,won on 2017-09-01 (confidence 0.85),|University Wire; Carlsbad | 2016-10-26,"Publication: The Miscellany News, Vassar College, Poughkeepsie NY. This marks the third week of the Harvard dining staff’s strike for livable wages and increased benefits, the first halt in the Uni­versity’s operations since 1983. In light of recent arrests an…"
"No matching venue_id for Vassar College dining services. Article states Vassar 'will be switching its food service provider starting in Fall 2017 from Aramark to Bon Appétit.' This is reported as a decided fact, not a pending decision. Used September 1 for 'Fall 2017'.",event,ev_7014048379e7d06f,Vassar,Aramark,lost on 2017-09-01 (confidence 0.85),|University Wire; Carlsbad | 2016-10-26,"Publication: The Miscellany News, Vassar College, Poughkeepsie NY. This marks the third week of the Harvard dining staff’s strike for livable wages and increased benefits, the first halt in the Uni­versity’s operations since 1983. In light of recent arrests an…"
No matching venue_id in candidate list for Temple University. Article states Sodexo's ~$24M contract expires June 2017. The RFP process is ongoing and no new contract has been awarded yet — only the expiration is a decided fact. Sodexo has been Temple's provider for 28 years per the article. Contract value described as 'nearly $24 million'.,event,ev_bdfb6f8e95b8eba0,Temple,Sodexo,expired on 2017-06-01 (confidence 0.85),|University Wire; Carlsbad | 2016-09-13,"Publication: Temple News, Temple University, Philadelphia PA. Michael Mahaffey (left), and Richard Green discuss the state of Sodexo's contract with the university. MAX SIMONS FOR THE TEMPLE NEWS With Sodexo's contract set to expire at the end of the spring se…"
"No matching venue_id in candidate list. Article reports a Trinity Food Services worker was caught with suspected drugs at Cotton Correctional Facility near Jackson, MI. This is a correctional facility, not in our venue spine. Article also confirms Trinity replaced Aramark in September 2015 and privatization began December 2013.",event,ev_a36bf206a66e4483,Cotton Correctional Facility,Trinity Food Services,violation on 2016-09-01 (confidence 0.75),"|Lansing State Journal; Lansing, Mich. | 2016-09-07","LANSING - A food service worker at Cotton Correctional Facility near Jackson was fired and turned over to the Michigan State Police on Thursday after a search as he reported to work that day turned up suspected drugs, a Corrections Department spokesman confirm…"
"No matching venue_id in candidate list. Article reports a local food sourcing policy change: UK and Aramark redefining local food metrics to exclude soda and ice from local food purchasing calculations for 2016-2017. This is a program/initiative announcement, not a contract award.",event,ev_121321515d6dd7e1,UK,Aramark,initiative on 2016-09-01 (confidence 0.85),"|Courier - Journal; Louisville, Ky. | 2016-09-21","…ces and Kentucky food business and processors,"" according to a Monday press release. ""UK Dining will not include Coke, Pepsi and ice in its calculations for the 2016-2017 year."" As Kentucky's flagship agricultural university, UK has drawn fire for spending mil…"
No matching venue_id in candidate list. Article states Aramark held the contract for 18 years under a series of negotiated deals. Aramark completed 'all responsibilities through the last meal we were contracted to provide on August 31.' Lost to Trinity Services Group.,event,ev_081648386db6d225,El Paso County Criminal Justice Center,Aramark Correctional Services LLC,lost on 2016-08-31 (confidence 0.92),|Colorado Springs Independent; Colorado Springs | 2017-02-07,"… you're looking to lose weight fast, you might try spending a couple of months at the El Paso County Criminal Justice Center. The food, apparently, is so bad - and servings so skimpy - that many inmates report losing 10, 20 and even 30 pounds in a matter of we…"
"No matching venue_id in candidate list. In May 2016, a Trinity worker at Ionia Correctional Facility was fired after allegedly found with heroin and meth. Correctional facility not in our venue spine.",event,ev_f8fc477c2be54fd8,Ionia Correctional Facility,Trinity Food Services,violation on 2016-05-01 (confidence 0.7),"|Lansing State Journal; Lansing, Mich. | 2016-09-07","…rectional Services of Philadelphia in September 2015. In May, a Trinity worker at the Ionia Correctional Facility was fired and the MSP opened an investigation after he was allegedly found in possession of heroin and methamphetamine. At Bellamy Creek, two unit…"
